Name,Species,SumLooking
CCI03,Dog,0
CCI10,Dog,3.88
CCI11,Dog,0
CCI09,Dog,0
Apollo,Dog,7.73
Artemis,Wolf,0
CCI04,Dog,4.89
CCI12,Dog,3.07
Blue,Wolf,0
CCI14,Dog,0
CCI17,Dog,1.79
CCI15,Dog,12.84
CCI16,Dog,0
CCI13,Dog,8.27
Divot,Dog,12.42
CCI05,Dog,4.22
Dwayne,Wolf,0.82
Dwight,Wolf,0.9
Echo,Wolf,0
CCI19,Dog,6.21
CCI21,Dog,6.91
CCI01,Dog,10
CCI20,Dog,1.81
Gallo,Wolf,1.79
Garland,Wolf,0.97
Gavin,Wolf,2.54
CCI32,Dog,1.66
Grey,Wolf,1.26
CCI22,Dog,1.75
CCI26,Dog,10.13
CCI23,Dog,7.79
CCI25,Dog,7.72
CCI24,Dog,0.95
CCI28,Dog,2.89
CCI30,Dog,3.35
CCI29,Dog,0
CCI27,Dog,0.34
Kameron,Wolf,0.65
CCI02,Dog,0.2
Madoni,Wolf,0
Mara,Wolf,1.92
Nathan,Wolf,1.15
Nicholas,Wolf,1.21
Orion,Dog,14.61
Tiny,Wolf,8.84
CCI06,Dog,1.53
CCI08,Dog,0
CCI07,Dog,0
Zelda,Dog,2.13
