Name,Species,Weeks,Sex,Condition,Trial ,Correct
Arya,Wolf,13,F,proximal,1,1
Arya,Wolf,13,F,proximal,2,1
Arya,Wolf,13,F,proximal,3,1
Arya,Wolf,13,F,proximal,4,0
Arya,Wolf,13,F,proximal,5,1
Arya,Wolf,13,F,proximal,6,1
Arya,Wolf,13,F,marker,1,0
Arya,Wolf,13,F,marker,2,1
Arya,Wolf,13,F,marker,3,0
Arya,Wolf,13,F,marker,4,1
Arya,Wolf,13,F,marker,5,1
Arya,Wolf,13,F,marker,6,0
Arya,Wolf,13,F,asymmetrical,1,0
Arya,Wolf,13,F,asymmetrical,2,0
Arya,Wolf,13,F,asymmetrical,3,0
Arya,Wolf,13,F,asymmetrical,4,0
Arya,Wolf,13,F,asymmetrical,5,1
Arya,Wolf,13,F,asymmetrical,6,0
Arya,Wolf,13,F,odor,1,0
Arya,Wolf,13,F,odor,2,1
Arya,Wolf,13,F,odor,3,0
Arya,Wolf,13,F,odor,4,0
Arya,Wolf,13,F,odor,5,1
Arya,Wolf,13,F,odor,6,1
LittleMan,Wolf,12,M,proximal,1,1
LittleMan,Wolf,12,M,proximal,2,1
LittleMan,Wolf,12,M,proximal,3,1
LittleMan,Wolf,12,M,proximal,4,0
LittleMan,Wolf,12,M,proximal,5,0
LittleMan,Wolf,12,M,proximal,6,0
LittleMan,Wolf,12,M,marker,1,0
LittleMan,Wolf,12,M,marker,2,1
LittleMan,Wolf,12,M,marker,3,1
LittleMan,Wolf,12,M,marker,4,1
LittleMan,Wolf,12,M,marker,5,1
LittleMan,Wolf,12,M,marker,6,0
LittleMan,Wolf,12,M,asymmetrical,1,0
LittleMan,Wolf,12,M,asymmetrical,2,0
LittleMan,Wolf,12,M,asymmetrical,3,0
LittleMan,Wolf,12,M,asymmetrical,4,0
LittleMan,Wolf,12,M,asymmetrical,5,1
LittleMan,Wolf,12,M,asymmetrical,6,0
LittleMan,Wolf,12,M,odor,1,0
LittleMan,Wolf,12,M,odor,2,0
LittleMan,Wolf,12,M,odor,3,1
LittleMan,Wolf,12,M,odor,4,1
LittleMan,Wolf,12,M,odor,5,1
LittleMan,Wolf,12,M,odor,6,0
HoneyPockets,Wolf,12,F,proximal,1,1
HoneyPockets,Wolf,12,F,proximal,2,1
HoneyPockets,Wolf,12,F,proximal,3,0
HoneyPockets,Wolf,12,F,proximal,4,0
HoneyPockets,Wolf,12,F,proximal,5,1
HoneyPockets,Wolf,12,F,proximal,6,0
HoneyPockets,Wolf,12,F,marker,1,0
HoneyPockets,Wolf,12,F,marker,2,1
HoneyPockets,Wolf,12,F,marker,3,1
HoneyPockets,Wolf,12,F,marker,4,1
HoneyPockets,Wolf,12,F,marker,5,0
HoneyPockets,Wolf,12,F,marker,6,1
HoneyPockets,Wolf,12,F,asymmetrical,1,0
HoneyPockets,Wolf,12,F,asymmetrical,2,1
HoneyPockets,Wolf,12,F,asymmetrical,3,1
HoneyPockets,Wolf,12,F,asymmetrical,4,1
HoneyPockets,Wolf,12,F,asymmetrical,5,1
HoneyPockets,Wolf,12,F,asymmetrical,6,1
HoneyPockets,Wolf,12,F,odor,1,1
HoneyPockets,Wolf,12,F,odor,2,0
HoneyPockets,Wolf,12,F,odor,3,1
HoneyPockets,Wolf,12,F,odor,4,0
HoneyPockets,Wolf,12,F,odor,5,1
HoneyPockets,Wolf,12,F,odor,6,0
Bran,Wolf,7,M,proximal,1,1
Bran,Wolf,7,M,proximal,2,1
Bran,Wolf,7,M,proximal,3,1
Bran,Wolf,7,M,proximal,4,1
Bran,Wolf,7,M,proximal,5,1
