Name,Species,Trial,Correct
Arya,Wolf,1,0
Arya,Wolf,2,0
Arya,Wolf,3,1
Arya,Wolf,4,0
Arya,Wolf,5,0
Arya,Wolf,6,0
Arya,Wolf,7,0
Arya,Wolf,8,0
Arya,Wolf,9,1
Arya,Wolf,10,1
LittleMan,Wolf,1,0
LittleMan,Wolf,2,0
LittleMan,Wolf,3,0
LittleMan,Wolf,4,1
LittleMan,Wolf,5,0
LittleMan,Wolf,6,0
LittleMan,Wolf,7,0
LittleMan,Wolf,8,1
LittleMan,Wolf,9,1
LittleMan,Wolf,10,1
HoneyPockets,Wolf,1,0
HoneyPockets,Wolf,2,1
HoneyPockets,Wolf,3,1
HoneyPockets,Wolf,4,1
HoneyPockets,Wolf,5,0
HoneyPockets,Wolf,6,0
HoneyPockets,Wolf,7,1
HoneyPockets,Wolf,8,0
HoneyPockets,Wolf,9,0
HoneyPockets,Wolf,10,0
Bran,Wolf,1,1
Bran,Wolf,2,0
Bran,Wolf,3,1
Bran,Wolf,4,1
Bran,Wolf,5,0
Bran,Wolf,6,0
Bran,Wolf,7,0
Bran,Wolf,8,1
Bran,Wolf,9,1
Bran,Wolf,10,1
Sam,Wolf,1,0
Sam,Wolf,2,0
Sam,Wolf,3,1
Sam,Wolf,4,1
Sam,Wolf,5,1
Sam,Wolf,6,0
Sam,Wolf,7,1
Sam,Wolf,8,1
Sam,Wolf,9,1
Sam,Wolf,10,0
Maggie,Wolf,1,0
Maggie,Wolf,2,1
Maggie,Wolf,3,1
Maggie,Wolf,4,0
Maggie,Wolf,5,1
Maggie,Wolf,6,1
Maggie,Wolf,7,1
Maggie,Wolf,8,1
Maggie,Wolf,9,1
Maggie,Wolf,10,0
Graham,Wolf,1,0
Graham,Wolf,2,0
Graham,Wolf,3,0
Graham,Wolf,4,0
Graham,Wolf,5,0
Graham,Wolf,6,0
Graham,Wolf,7,0
Graham,Wolf,8,0
Graham,Wolf,9,0
Graham,Wolf,10,0
Alaina,Wolf,1,1
Alaina,Wolf,2,1
Alaina,Wolf,3,0
Alaina,Wolf,4,1
Alaina,Wolf,5,1
Alaina,Wolf,6,1
Alaina,Wolf,7,0
Alaina,Wolf,8,1
Alaina,Wolf,9,1
Alaina,Wolf,10,1
Clay,Wolf,1,1
Clay,Wolf,2,0
Clay,Wolf,3,1
Clay,Wolf,4,0
Clay,Wolf,5,0
Clay,Wolf,6,1
Clay,Wolf,7,1
Clay,Wolf,8,1
Clay,Wolf,9,1
Clay,Wolf,10,0
Cherri,Wolf,1,0
Cherri,Wolf,2,1
Cherri,Wolf,3,1
Cherri,Wolf,4,1
Cherri,Wolf,5,1
Cherri,Wolf,6,0
Cherri,Wolf,7,1
Cherri,Wolf,8,1
Cherri,Wolf,9,1
Cherri,Wolf,10,1
Tiny,Wolf,1,0
Tiny,Wolf,2,1
Tiny,Wolf,3,0
Tiny,Wolf,4,1
Tiny,Wolf,5,0
Tiny,Wolf,6,1
Tiny,Wolf,7,1
Tiny,Wolf,8,NA
Tiny,Wolf,9,1
Tiny,Wolf,10,1
Grey,Wolf,1,1
Grey,Wolf,2,0
Grey,Wolf,3,0
Grey,Wolf,4,1
Grey,Wolf,5,1
Grey,Wolf,6,1
Grey,Wolf,7,1
Grey,Wolf,8,1
Grey,Wolf,9,0
Grey,Wolf,10,1
Mara,Wolf,1,0
Mara,Wolf,2,0
Mara,Wolf,3,1
Mara,Wolf,4,1
Mara,Wolf,5,1
Mara,Wolf,6,1
Mara,Wolf,7,1
Mara,Wolf,8,1
Mara,Wolf,9,1
Mara,Wolf,10,1
Dwight,Wolf,1,1
Dwight,Wolf,2,1
Dwight,Wolf,3,1
Dwight,Wolf,4,1
Dwight,Wolf,5,1
Dwight,Wolf,6,1
Dwight,Wolf,7,1
Dwight,Wolf,8,1
Dwight,Wolf,9,1
Dwight,Wolf,10,1
Garland,Wolf,1,0
Garland,Wolf,2,0
Garland,Wolf,3,1
Garland,Wolf,4,1
Garland,Wolf,5,1
Garland,Wolf,6,1
Garland,Wolf,7,1
Garland,Wolf,8,1
Garland,Wolf,9,1
Garland,Wolf,10,1
Kameron,Wolf,1,0
Kameron,Wolf,2,1
Kameron,Wolf,3,1
Kameron,Wolf,4,1
Kameron,Wolf,5,1
Kameron,Wolf,6,1
Kameron,Wolf,7,1
Kameron,Wolf,8,1
Kameron,Wolf,9,1
Kameron,Wolf,10,1
Gavin,Wolf,1,0
Gavin,Wolf,2,1
Gavin,Wolf,3,0
Gavin,Wolf,4,1
Gavin,Wolf,5,0
Gavin,Wolf,6,0
Gavin,Wolf,7,0
Gavin,Wolf,8,1
Gavin,Wolf,9,1
Gavin,Wolf,10,1
Nathan,Wolf,1,1
Nathan,Wolf,2,1
Nathan,Wolf,3,1
Nathan,Wolf,4,1
Nathan,Wolf,5,1
Nathan,Wolf,6,1
Nathan,Wolf,7,1
Nathan,Wolf,8,1
Nathan,Wolf,9,1
Nathan,Wolf,10,1
Jordan,Wolf,1,0
Jordan,Wolf,2,1
Jordan,Wolf,3,1
Jordan,Wolf,4,0
Jordan,Wolf,5,0
Jordan,Wolf,6,0
Jordan,Wolf,7,1
Jordan,Wolf,8,1
Jordan,Wolf,9,0
Jordan,Wolf,10,1
Brooks,Dog,1,1
Brooks,Dog,2,1
Brooks,Dog,3,1
Brooks,Dog,4,1
Brooks,Dog,5,1
Brooks,Dog,6,1
Brooks,Dog,7,1
Brooks,Dog,8,1
Brooks,Dog,9,1
Brooks,Dog,10,1
Hollis,Dog,1,0
Hollis,Dog,2,0
Hollis,Dog,3,1
Hollis,Dog,4,1
Hollis,Dog,5,0
Hollis,Dog,6,1
Hollis,Dog,7,1
Hollis,Dog,8,1
Hollis,Dog,9,0
Hollis,Dog,10,1
Wade,Dog,1,0
Wade,Dog,2,1
Wade,Dog,3,1
Wade,Dog,4,1
Wade,Dog,5,1
Wade,Dog,6,1
Wade,Dog,7,1
Wade,Dog,8,1
Wade,Dog,9,1
Wade,Dog,10,1
Hampshire,Dog,1,0
Hampshire,Dog,2,0
Hampshire,Dog,3,1
Hampshire,Dog,4,1
Hampshire,Dog,5,1
Hampshire,Dog,6,1
Hampshire,Dog,7,1
Hampshire,Dog,8,1
Hampshire,Dog,9,1
Hampshire,Dog,10,1
Penn,Dog,1,0
Penn,Dog,2,0
Penn,Dog,3,1
Penn,Dog,4,1
