Name,Species,Sex,Unfamiliar Human,Familiar Human,Unfamiliar Object,Familiar Object,Temperament Weeks,Working Memory,Working Memory Weeks,Pointing Gesture,Marker Gesture,Body vs Point Control,Odor Control,Gesture Weeks,Inhibitory Control,Inhibitory Control Weeks,Eye Contact,Eye Contact Weeks
Adam,Wolf,M,2,1,5,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaina,Wolf,F,1,2,8,7,11,20,12,5,3,5,2,12,8,12,NA,NA
Artemis,Wolf,F,NA,4,4,2,12,11,12,3,2,2,2,12,NA,NA,0,12
Arya,Wolf,F,1,1,5,4,13,20,13,5,3,1,3,13,3,13,NA,NA
Banner,Wolf,M,0,2,7,3,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue,Wolf,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,0,12
Bran,Wolf,M,2,3,5,4,7,5,7,5,2,4,3,7,6,8,NA,NA
Cherri,Wolf,F,1,1,5,4,11,4,12,2,4,3,3,12,8,12,NA,NA
Clay,Wolf,M,0,2,5,6,11,9,12,4,3,2,2,12,6,12,NA,NA
Courtney,Wolf,F,0,2,7,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dwayne,Wolf,M,NA,3,3,2,11,20,12,3,3,6,3,12,NA,NA,0.82,12
Dwight,Wolf,M,1,1,4,1,8,4,9,4,5,3,2,9,10,10,0.9,13
Echo,Wolf,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,12,0,12
Ezra,Wolf,F,0,0,7,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Freya,Wolf,F,NA,NA,4,2,12,19,12,3,3,3,NA,12,NA,NA,NA,NA
Gallo,Wolf,M,NA,0,3,3,10,6,10,3,5,2,3,10,NA,NA,1.79,12
Garland,Wolf,M,1,4,7,5,11,6,12,3,4,1,3,12,8,12,0.97,16
Gavin,Wolf,M,1,0,5,3,11,4,12,4,3,0,4,12,5,12,2.54,16
Graham,Wolf,M,0,2,2,0,13,NA,NA,NA,NA,NA,NA,NA,0,6,NA,NA
Grey,Wolf,M,5,4,7,2,10,9,12,3,6,0,2,12,7,12,1.26,16
