Name,Species,Weeks,Type,Condition,Trial,Touch
Arya,Wolf,13,T1,SF,1,0
Arya,Wolf,13,T1,SF,2,0
Arya,Wolf,13,T1,SF,3,0
Arya,Wolf,13,T1,SF,4,0
Arya,Wolf,13,T1,SU,5,0
Arya,Wolf,13,T1,SU,6,0
Arya,Wolf,13,T1,SU,7,0
Arya,Wolf,13,T1,SU,8,1
Arya,Wolf,13,T1,NSF,9,1
Arya,Wolf,13,T1,NSF,10,1
Arya,Wolf,13,T1,NSF,11,1
Arya,Wolf,13,T1,NSF,12,1
Arya,Wolf,13,T1,NSU,13,1
Arya,Wolf,13,T1,NSU,14,1
Arya,Wolf,13,T1,NSU,15,1
Arya,Wolf,13,T1,NSU,16,1
LittleMan,Wolf,13,T1,NSU,1,1
LittleMan,Wolf,13,T1,NSU,2,1
LittleMan,Wolf,13,T1,NSU,3,1
LittleMan,Wolf,13,T1,NSU,4,1
LittleMan,Wolf,13,T1,NSF,5,1
LittleMan,Wolf,13,T1,NSF,6,0
LittleMan,Wolf,13,T1,NSF,7,0
LittleMan,Wolf,13,T1,NSF,8,0
LittleMan,Wolf,13,T1,SU,9,1
LittleMan,Wolf,13,T1,SU,10,0
LittleMan,Wolf,13,T1,SU,11,0
LittleMan,Wolf,13,T1,SU,12,0
LittleMan,Wolf,13,T1,SF,13,1
LittleMan,Wolf,13,T1,SF,14,0
LittleMan,Wolf,13,T1,SF,15,1
LittleMan,Wolf,13,T1,SF,16,0
Shakira,Wolf,13,T1,NSF,1,1
Shakira,Wolf,13,T1,NSF,2,1
Shakira,Wolf,13,T1,NSF,3,1
Shakira,Wolf,13,T1,NSF,4,1
Shakira,Wolf,13,T1,NSU,5,1
Shakira,Wolf,13,T1,NSU,6,0
Shakira,Wolf,13,T1,NSU,7,0
Shakira,Wolf,13,T1,NSU,8,0
Shakira,Wolf,13,T1,SF,9,0
Shakira,Wolf,13,T1,SF,10,0
Shakira,Wolf,13,T1,SF,11,0
Shakira,Wolf,13,T1,SF,12,0
Shakira,Wolf,13,T1,SU,13,0
Shakira,Wolf,13,T1,SU,14,0
Shakira,Wolf,13,T1,SU,15,0
Shakira,Wolf,13,T1,SU,16,0
HoneyPockets,Wolf,13,T1,SU,1,0
HoneyPockets,Wolf,13,T1,SU,2,0
HoneyPockets,Wolf,13,T1,SU,3,0
HoneyPockets,Wolf,13,T1,SU,4,0
HoneyPockets,Wolf,13,T1,SF,5,0
HoneyPockets,Wolf,13,T1,SF,6,0
HoneyPockets,Wolf,13,T1,SF,7,0
HoneyPockets,Wolf,13,T1,SF,8,0
HoneyPockets,Wolf,13,T1,NSU,9,1
HoneyPockets,Wolf,13,T1,NSU,10,1
HoneyPockets,Wolf,13,T1,NSU,11,1
HoneyPockets,Wolf,13,T1,NSU,12,1
HoneyPockets,Wolf,13,T1,NSF,13,0
HoneyPockets,Wolf,13,T1,NSF,14,0
HoneyPockets,Wolf,13,T1,NSF,15,1
HoneyPockets,Wolf,13,T1,NSF,16,1
Bran,Wolf,7,T1,SU,1,1
Bran,Wolf,7,T1,SU,2,1
Bran,Wolf,7,T1,SU,3,0
Bran,Wolf,7,T1,SU,4,0
Bran,Wolf,7,T1,SF,5,1
Bran,Wolf,7,T1,SF,6,1
Bran,Wolf,7,T1,SF,7,1
Bran,Wolf,7,T1,SF,8,0
Bran,Wolf,7,T1,NSU,9,0
Bran,Wolf,7,T1,NSU,10,1
Bran,Wolf,7,T1,NSU,11,1
Bran,Wolf,7,T1,NSU,12,1
Bran,Wolf,7,T1,NSF,13,1
Bran,Wolf,7,T1,NSF,14,1
Bran,Wolf,7,T1,NSF,15,0
Bran,Wolf,7,T1,NSF,16,0
Sam,Wolf,7,T1,NSF,1,1
Sam,Wolf,7,T1,NSF,2,1
Sam,Wolf,7,T1,NSF,3,0
Sam,Wolf,7,T1,NSF,4,1
Sam,Wolf,7,T1,NSU,5,1
Sam,Wolf,7,T1,NSU,6,1
Sam,Wolf,7,T1,NSU,7,1
Sam,Wolf,7,T1,NSU,8,0
Sam,Wolf,7,T1,SF,9,1
Sam,Wolf,7,T1,SF,10,1
Sam,Wolf,7,T1,SF,11,1
Sam,Wolf,7,T1,SF,12,1
Sam,Wolf,7,T1,SU,13,0
Sam,Wolf,7,T1,SU,14,0
Sam,Wolf,7,T1,SU,15,0
Sam,Wolf,7,T1,SU,16,0
Maggie,Wolf,13,T1,SF,1,0
Maggie,Wolf,13,T1,SF,2,0
Maggie,Wolf,13,T1,SF,3,0
Maggie,Wolf,13,T1,SF,4,1
Maggie,Wolf,13,T1,SU,5,0
Maggie,Wolf,13,T1,SU,6,0
Maggie,Wolf,13,T1,SU,7,0
Maggie,Wolf,13,T1,SU,8,0
Maggie,Wolf,13,T1,NSF,9,1
Maggie,Wolf,13,T1,NSF,10,1
Maggie,Wolf,13,T1,NSF,11,1
Maggie,Wolf,13,T1,NSF,12,1
Maggie,Wolf,13,T1,NSU,13,1
Maggie,Wolf,13,T1,NSU,14,1
Maggie,Wolf,13,T1,NSU,15,1
Maggie,Wolf,13,T1,NSU,16,1
Graham,Wolf,13,T1,NSF,1,0
Graham,Wolf,13,T1,NSF,2,0
Graham,Wolf,13,T1,NSF,3,0
Graham,Wolf,13,T1,NSF,4,0
Graham,Wolf,13,T1,NSU,5,1
Graham,Wolf,13,T1,NSU,6,0
Graham,Wolf,13,T1,NSU,7,0
Graham,Wolf,13,T1,NSU,8,0
Graham,Wolf,13,T1,SF,9,0
Graham,Wolf,13,T1,SF,10,1
Graham,Wolf,13,T1,SF,11,0
Graham,Wolf,13,T1,SF,12,0
Graham,Wolf,13,T1,SU,13,0
Graham,Wolf,13,T1,SU,14,0
Graham,Wolf,13,T1,SU,15,0
Graham,Wolf,13,T1,SU,16,0
Adam,Wolf,8,T1,NSU,1,1
Adam,Wolf,8,T1,NSU,2,1
Adam,Wolf,8,T1,NSU,3,1
Adam,Wolf,8,T1,NSU,4,0
Adam,Wolf,8,T1,NSF,5,0
Adam,Wolf,8,T1,NSF,6,1
Adam,Wolf,8,T1,NSF,7,0
Adam,Wolf,8,T1,NSF,8,1
Adam,Wolf,8,T1,SU,9,0
Adam,Wolf,8,T1,SU,10,1
Adam,Wolf,8,T1,SU,11,0
Adam,Wolf,8,T1,SU,12,1
Adam,Wolf,8,T1,SF,13,0
Adam,Wolf,8,T1,SF,14,0
Adam,Wolf,8,T1,SF,15,0
Adam,Wolf,8,T1,SF,16,0
Banner,Wolf,12,T1,NSU,1,1
Banner,Wolf,12,T1,NSU,2,0
Banner,Wolf,12,T1,NSU,3,1
Banner,Wolf,12,T1,NSU,4,1
Banner,Wolf,12,T1,NSF,5,0
Banner,Wolf,12,T1,NSF,6,0
Banner,Wolf,12,T1,NSF,7,0
Banner,Wolf,12,T1,NSF,8,0
Banner,Wolf,12,T1,SU,9,0
Banner,Wolf,12,T1,SU,10,0
Banner,Wolf,12,T1,SU,11,0
Banner,Wolf,12,T1,SU,12,0
Banner,Wolf,12,T1,SF,13,0
Banner,Wolf,12,T1,SF,14,0
Banner,Wolf,12,T1,SF,15,0
Banner,Wolf,12,T1,SF,16,0
Skye,Wolf,12,T1,NSF,1,0
Skye,Wolf,12,T1,NSF,2,0
Skye,Wolf,12,T1,NSF,3,1
Skye,Wolf,12,T1,NSF,4,0
Skye,Wolf,12,T1,NSU,5,1
Skye,Wolf,12,T1,NSU,6,1
Skye,Wolf,12,T1,NSU,7,1
Skye,Wolf,12,T1,NSU,8,0
Skye,Wolf,12,T1,SF,9,0
Skye,Wolf,12,T1,SF,10,0
Skye,Wolf,12,T1,SF,11,0
Skye,Wolf,12,T1,SF,12,0
Skye,Wolf,12,T1,SU,13,0
