Name,Species,Trials,Weeks
Adam,Wolf,NA,NA
Alaina,Wolf,20,12
Artemis,Wolf,11,12
Arya,Wolf,20,13
Banner,Wolf,NA,NA
Blue,Wolf,NA,NA
Bran,Wolf,5,7
Cherri,Wolf,4,12
Clay,Wolf,9,12
Courtney,Wolf,NA,NA
Dwayne,Wolf,20,12
Dwight,Wolf,4,9
Echo,Wolf,NA,NA
Ezra,Wolf,NA,NA
Freya,Wolf,19,12
Gallo,Wolf,6,10
Garland,Wolf,6,12
Gavin,Wolf,4,12
Graham,Wolf,NA,NA
Grey,Wolf,9,12
HoneyPockets,Wolf,20,12
Jane,Wolf,9,13
Jordan,Wolf,8,13
Kameron,Wolf,6,9
Lexi,Wolf,NA,NA
LittleMan,Wolf,20,12
Madoni,Wolf,14,10
Maggie,Wolf,4,13
Mara,Wolf,19,9
Nathan,Wolf,19,12
Nicholas,Wolf,NA,NA
Renner,Wolf,NA,NA
Sam,Wolf,13,8
Scarlet,Wolf,5,13
Shakira,Wolf,NA,NA
Skye,Wolf,12,13
Tiny,Wolf,4,12
CCI03,Dog,6,14
CCI10,Dog,10,7
CCI11,Dog,20,7
CCI09,Dog,8,7
Apollo,Dog,4,13
CCI04,Dog,6,14
CCI12,Dog,20,7
Booth,Dog,4,13
Brooks,Dog,6,12
CCI14,Dog,20,7
CCI17,Dog,4,7
CCI15,Dog,17,7
CCI16,Dog,20,7
CCI13,Dog,20,7
Divot,Dog,4,13
CCI05,Dog,4,15
CCI19,Dog,14,8
CCI21,Dog,20,8
CCI18,Dog,20,8
CCI01,Dog,7,18
CCI20,Dog,20,8
Franklin,Dog,6,13
CCI32,Dog,4,8
Hampshire,Dog,19,11
CCI22,Dog,20,8
CCI26,Dog,4,8
CCI23,Dog,20,8
Hollis,Dog,6,12
CCI25,Dog,7,8
CCI24,Dog,4,8
CCI31,Dog,NA,NA
CCI28,Dog,20,8
CCI30,Dog,20,8
CCI29,Dog,15,8
CCI27,Dog,14,8
JGrey,Dog,4,11
CCI02,Dog,4,15
Orion,Dog,4,16
Penn,Dog,4,11
Porter,Dog,8,11
Wade,Dog,4,12
CCI06,Dog,NA,7
CCI08,Dog,20,7
CCI07,Dog,17,7
Zelda,Dog,6,14
